id,title,authors,subjects,abs_link,pdf_link
arXiv:2507.06164,Critical Nodes Identification in Complex Networks: A Survey,"Duxin Chen, Jiawen Chen, Xiaoyu Zhang, Qinghan Jia, Xiaolu Liu, Ye Sun, Linyuan Lv, Wenwu Yu",Social and Information Networks (cs.SI); Artificial Intelligence (cs.AI); Applied Physics (physics.app-ph),https://arxiv.org/abs/2507.06164,https://arxiv.org/pdf/2507.06164
arXiv:2507.06149,Fast and Accurate Collision Probability Estimation for Autonomous Vehicles using Adaptive Sigma-Point Sampling,"Charles Champagne Cossette, Taylor Scott Clawson, Andrew Feit",Robotics (cs.RO); Artificial Intelligence (cs.AI); Computational Geometry (cs.CG),https://arxiv.org/abs/2507.06149,https://arxiv.org/pdf/2507.06149
arXiv:2507.06148,SoftReMish: A Novel Activation Function for Enhanced Convolutional Neural Networks for Visual Recognition Performance,Mustafa Bayram Gücen,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Neural and Evolutionary Computing (cs.NE),https://arxiv.org/abs/2507.06148,https://arxiv.org/pdf/2507.06148
arXiv:2507.06140,LangMamba: A Language-driven Mamba Framework for Low-dose CT Denoising with Vision-language Models,"Zhihao Chen, Tao Chen, Chenhui Wang, Qi Gao, Huidong Xie, Chuang Niu, Ge Wang, Hongming Shan",Image and Video Processing (eess.IV); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2507.06140,https://arxiv.org/pdf/2507.06140
arXiv:2507.06139,Topic Modeling and Link-Prediction for Material Property Discovery,"Ryan C. Barron, Maksim E. Eren, Valentin Stanev, Cynthia Matuszek, Boian S. Alexandrov","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computational Engineering, Finance, and Science (cs.CE)",https://arxiv.org/abs/2507.06139,https://arxiv.org/pdf/2507.06139
arXiv:2507.06138,Coding Triangle: How Does Large Language Model Understand Code?,"Taolin Zhang, Zihan Ma, Maosong Cao, Junnan Liu, Songyang Zhang, Kai Chen",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06138,https://arxiv.org/pdf/2507.06138
arXiv:2507.06137,NeoBabel: A Multilingual Open Tower for Visual Generation,"Mohammad Mahdi Derakhshani, Dheeraj Varghese, Marzieh Fadaee, Cees G. M. Snoek",Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2507.06137,https://arxiv.org/pdf/2507.06137
arXiv:2507.06127,PrefixAgent: An LLM-Powered Design Framework for Efficient Prefix Adder Optimization,"Dongsheng Zuo, Jiadong Zhu, Yang Luo, Yuzhe Ma",Hardware Architecture (cs.AR); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06127,https://arxiv.org/pdf/2507.06127
arXiv:2507.06125,Subspace-based Approximate Hessian Method for Zeroth-Order Optimization,"Dongyoon Kim, Sungjae Lee, Wonjin Lee, Kwang In Kim",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06125,https://arxiv.org/pdf/2507.06125
arXiv:2507.06116,Speech Quality Assessment Model Based on Mixture of Experts: System-Level Performance Enhancement and Utterance-Level Challenge Analysis,"Xintong Hu, Yixuan Chen, Rui Yang, Wenxiang Guo, Changhao Pan",Sound (cs.SD); Artificial Intelligence (cs.AI); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2507.06116,https://arxiv.org/pdf/2507.06116
arXiv:2507.06109,LighthouseGS: Indoor Structure-aware 3D Gaussian Splatting for Panorama-Style Mobile Captures,"Seungoh Han, Jaehoon Jang, Hyunsu Kim, Jaeheung Surh, Junhyung Kwak, Hyowon Ha, Kyungdon Joo",Graphics (cs.GR); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2507.06109,https://arxiv.org/pdf/2507.06109
arXiv:2507.06092,Taming Data Challenges in ML-based Security Tasks: Lessons from Integrating Generative AI,"Shravya Kanchi, Neal Mangaokar, Aravind Cheruvu, Sifat Muhammad Abdullah, Shirin Nilizadeh, Atul Prakash, Bimal Viswanath",Cryptography and Security (cs.CR); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06092,https://arxiv.org/pdf/2507.06092
arXiv:2507.06079,QS4D: Quantization-aware training for efficient hardware deployment of structured state-space sequential models,"Sebastian Siegel, Ming-Jay Yang, Younes Bouhadjar, Maxime Fabre, Emre Neftci, John Paul Strachan",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06079,https://arxiv.org/pdf/2507.06079
arXiv:2507.06070,Contrastive and Transfer Learning for Effective Audio Fingerprinting through a Real-World Evaluation Protocol,"Christos Nikou, Theodoros Giannakopoulos",Sound (cs.SD); Artificial Intelligence (cs.AI); Information Retrieval (cs.IR); Machine Learning (cs.LG); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2507.06070,https://arxiv.org/pdf/2507.06070
arXiv:2507.06067,Enhancing Synthetic CT from CBCT via Multimodal Fusion and End-To-End Registration,"Maximilian Tschuchnig, Lukas Lamminger, Philipp Steininger, Michael Gadermayr",Image and Video Processing (eess.IV); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2507.06067,https://arxiv.org/pdf/2507.06067
arXiv:2507.06060,VisualSpeaker: Visually-Guided 3D Avatar Lip Synthesis,"Alexandre Symeonidis-Herzig, Özge Mercanoğlu Sincan, Richard Bowden",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06060,https://arxiv.org/pdf/2507.06060
arXiv:2507.06056,Entropy-Memorization Law: Evaluating Memorization Difficulty of Data in LLMs,"Yizhan Huang, Zhe Yang, Meifang Chen, Jianping Zhang, Michael R. Lyu",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06056,https://arxiv.org/pdf/2507.06056
arXiv:2507.06043,CAVGAN: Unifying Jailbreak and Defense of LLMs via Generative Adversarial Attacks on their Internal Representations,"Xiaohu Li, Yunfeng Ning, Zepeng Bao, Mayi Xu, Jianhao Chen, Tieyun Qian",Cryptography and Security (cs.CR); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06043,https://arxiv.org/pdf/2507.06043
arXiv:2507.06033,TextPixs: Glyph-Conditioned Diffusion with Character-Aware Attention and OCR-Guided Supervision,"Syeda Anshrah Gillani, Mirza Samad Ahmed Baig, Osama Ahmed Khan, Shahid Munir Shah, Umema Mujeeb, Maheen Ali",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06033,https://arxiv.org/pdf/2507.06033
arXiv:2507.06031,Efficient Federated Learning with Timely Update Dissemination,"Juncheng Jia, Ji Liu, Chao Huo, Yihui Shen, Yang Zhou, Huaiyu Dai, Dejing Dou","Distributed, Parallel, and Cluster Computing (cs.DC); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)",https://arxiv.org/abs/2507.06031,https://arxiv.org/pdf/2507.06031
arXiv:2507.06008,The Impact of Event Data Partitioning on Privacy-aware Process Discovery,"Jungeun Lim, Stephan A. Fahrenkrog-Petersen, Xixi Lu, Jan Mendling, Minseok Song",Cryptography and Security (cs.CR); Artificial Intelligence (cs.AI); Databases (cs.DB),https://arxiv.org/abs/2507.06008,https://arxiv.org/pdf/2507.06008
arXiv:2507.05999,Geo-Registration of Terrestrial LiDAR Point Clouds with Satellite Images without GNSS,"Xinyu Wang, Muhammad Ibrahim, Atif Mansoor, Ajmal Mian",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05999,https://arxiv.org/pdf/2507.05999
arXiv:2507.05992,Exploring Partial Multi-Label Learning via Integrating Semantic Co-occurrence Knowledge,"Xin Wu, Fei Teng, Yue Feng, Kaibo Shi, Zhuosheng Lin, Ji Zhang, James Wang",Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05992,https://arxiv.org/pdf/2507.05992
arXiv:2507.05966,Simple Convergence Proof of Adam From a Sign-like Descent Perspective,"Hanyang Peng, Shuang Qin, Yue Yu, Fangqing Jiang, Hui Wang, Zhouchen Lin",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05966,https://arxiv.org/pdf/2507.05966
